,Unnamed: 0,title,author,release year,book length,rating,number of ratings
496,496,"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,2003,274.0,4.01,230201
498,498,Lovely War (Hardcover),Julie Berry,2019,471.0,4.25,44230
500,500,"Any Duchess Will Do (Spindle Cove, #4)",Tessa Dare,2013,375.0,4.04,23816
501,501,"Any Duchess Will Do (Spindle Cove, #4)",Tessa Dare,2013,375.0,4.04,23816
502,502,"Any Duchess Will Do (Spindle Cove, #4)",Tessa Dare,2013,375.0,4.04,23816
503,503,Something Wilder (Hardcover),Christina Lauren,2022,384.0,3.74,42112
504,504,"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,2000,637.0,4.3,78595
505,505,Love in the Time of Cholera (Paperback),Gabriel García Márquez,1985,348.0,3.93,466520
507,507,Just the Sexiest Man Alive (Mass Market Paperback),Julie James,2008,296.0,3.92,44264
509,509,"Sugar Daddy (Travises, #1)",Lisa Kleypas,2007,371.0,4.01,42517
510,510,An Enchantment of Ravens (Hardcover),Margaret  Rogerson,2017,304.0,3.65,73870
512,512,"A Promise of Fire (Kingmaker Chronicles, #1)",Amanda Bouchet,2016,445.0,4.04,32350
513,513,"Beautiful Player (Beautiful Bastard, #3)",Christina Lauren,2013,432.0,4.28,67011
517,517,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,2018,984.0,4.62,261600
519,519,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",Laini Taylor,2012,517.0,4.14,156341
523,523,"The Rogue Not Taken (Scandal & Scoundrel, #1)",Sarah MacLean,2015,419.0,3.95,21806
524,524,"Do You Want to Start a Scandal (Spindle Cove, #5; Castles Ever After, #4)",Tessa Dare,2016,272.0,4.07,18892
525,525,Remember Me? (Hardcover),Sophie Kinsella,2008,352.0,3.8,240254
526,526,"Kiss the Sky (Calloway Sisters, #1)",Krista Ritchie,2014,443.0,4.29,47515
527,527,"Silence (Hush, Hush, #3)",Becca Fitzpatrick,2011,448.0,4.09,269681
528,528,"Grave Mercy (His Fair Assassin, #1)",Robin LaFevers,2012,549.0,3.89,104570
530,530,"Well Played (Well Met, #2)",Jen DeLuca,2020,313.0,3.52,22785
531,531,"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas,2020,344.0,4.33,63034
534,534,Redeeming Love (Paperback),Francine Rivers,1991,479.0,4.5,273997
537,537,Bossman (Kindle Edition),Vi Keeland,2016,316.0,4.16,63756
539,539,"Still Me (Me Before You, #3)",Jojo Moyes,2018,469.0,4.12,181067
542,542,Marriage for One (Kindle Edition),Ella Maise,2019,520.0,3.93,60911
544,544,"Wicked and the Wallflower (The Bareknuckle Bastards, #1)",Sarah MacLean,2018,396.0,3.98,17089
546,546,"Never Seduce a Scot (The Montgomerys and Armstrongs, #1)",Maya Banks,2012,373.0,4.15,31542
552,552,"Captive Prince: Volume Two (Captive Prince, #2)",C.S. Pacat,2013,216.0,4.38,57475
553,553,The Witness (Paperback),Nora Roberts,2012,757.0,4.22,75491
555,555,"Dragon Bound (Elder Races, #1)",Thea Harrison,2011,312.0,4.08,48193
